| Session ID                               | Game ID         | Rating     | Game Score   | Best Score   | Total Time      | Level Time                                                                                           | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | None       | 581          | 4466         | Timer: 00:02.36 | [{'level': 3, 'time': 788.1000000238419}]                                                            | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | mediocre   | 32007        | 32007        | 00:16.17        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | genius     | 34299        | 34299        | 00:15.32        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 2259         | 4466         | 00:03.79        | [{'level': 3, 'time': 831.5}, {'level': 4, 'time': 1377.0999999940395}, {'level': 5, 'time': 1583.800000011921}] | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 615          | 4466         | 00:00.68        | [{'level': 3, 'time': 442.2000000178814}]                                                            | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | None       | 0            | 4466         | 00:00.48        | []                                                                                                   | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | None       | 0            | 4466         | 00:00.04        | []                                                                                                   | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | None       | 0            | 4466         | 00:00.78        | []                                                                                                   | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | None       | 0            | 4466         | 00:00.10        | []                                                                                                   | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 618          | 4466         | 00:00.52        | [{'level': 3, 'time': 419.69999998807907}]                                                           | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 1410         | 4466         | 00:01.86        | [{'level': 3, 'time': 467.2999999821186}, {'level': 4, 'time': 825.1999999880791}]                   | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 576          | 4466         | 00:01.05        | [{'level': 3, 'time': 833.9000000059605}]                                                            | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | None       | 0            | 4466         | 00:01.84        | []                                                                                                   | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 637          | 4466         | 00:01.31        | [{'level': 3, 'time': 220.59999999403954}]                                                           | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 616          | 4466         | 00:01.07        | [{'level': 3, 'time': 432.2000000178814}]                                                            | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 1099         | 4466         | 00:07.59        | [{'level': 3, 'time': 5394.200000017881}, {'level': 4, 'time': 803.6000000238419}]                   | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | corsiblock      | mediocre   | 6125         | 6125         | 00:12.43        | [{'level': 3, 'time': 719}, {'level': 4, 'time': 2239.5999999940395}, {'level': 5, 'time': 1606.699999988079}, {'level': 6, 'time': 1809.9000000059605}, {'level': 7, 'time': 2165.5}, {'level': 8, 'time': 2799.9000000059605}] | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 29110        | 34299        | 00:18.83        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 29110        | 34299        | 00:16.52        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | genius     | 32970        | 34299        | 00:13.82        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | genius     | 38647        | 38647        | 00:11.08        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 29110        | 38647        | 00:16.97        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | genius     | 34550        | 38647        | 00:15.08        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | genius     | 35252        | 38647        | 00:13.00        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 27675        | 38647        | 00:17.84        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 26240        | 38647        | 00:19.53        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 21935        | 38647        | 00:24.84        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 27675        | 38647        | 00:21.36        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 19065        | 38647        | 01:09.05        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 17630        | 38647        | 00:30.29        | None                                                                                                 | 
| b8d7027a-4dc4-49c9-bd71-a574368cb85d     | matchtwo        | None       | 20500        | 38647        | 00:37.80        | None                                                                                                 | 
| 0d84b907-878f-452e-bb3c-d32164dfce47     | corsiblock      | mediocre   | 1350         | 1350         | 00:20.66        | [{'level': 3, 'time': 762}, {'level': 4, 'time': 1120.6000000238419}]                                | 
| 0d84b907-878f-452e-bb3c-d32164dfce47     | corsiblock      | mediocre   | 2240         | 2240         | 00:05.51        | [{'level': 3, 'time': 1004.6999999880791}, {'level': 4, 'time': 1403.699999988079}, {'level': 5, 'time': 1579.7999999523163}] | 
